Prefecture,2020-01-15,2020-01-24,2020-01-26,2020-01-28,2020-01-30,2020-01-31,2020-02-01,2020-02-04,2020-02-05,2020-02-07,2020-02-10,2020-02-11,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06
三重県,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,16.0,19.0,20.0,20.0,23.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
不明,0.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,11.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
京都府,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,17.0,23.0,35.0,36.0,40.0,46.0,49.0,54.0,58.0,65.0,75.0,78.0,85.0,89.0,91.0,98.0,105.0,107.0,113.0,120.0,126.0,133.0,135.0,139.0,140.0,146.0,149.0,150.0,152.0,154.0,158.0,159.0,160.0,161.0,164.0,168.0,169.0,171.0,172.0,173.0,173.0,173.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,179.0,182.0,183.0,184.0,187.0,189.0,191.0,192.0,193.0,193.0,193.0,193.0
佐賀県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0,13.0,17.0,18.0,18.0,18.0,19.0,21.0,21.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
兵庫県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,5.0,6.0,8.0,14.0,20.0,21.0,28.0,35.0,44.0,46.0,46.0,48.0,50.0,54.0,57.0,60.0,61.0,63.0,63.0,63.0,63.0,69.0,70.0,73.0,85.0,89.0,96.0,105.0,112.0,122.0,127.0,146.0,163.0,181.0,201.0,218.0,226.0,233.0,239.0,253.0,267.0,283.0,295.0,300.0,308.0,320.0,328.0,342.0,351.0,359.0,362.0,363.0,368.0,370.0,372.0,374.0,378.0,383.0,385.0,387.0,388.0,390.0,393.0,395.0,396.0,396.0,397.0,399.0,399.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,402.0,403.0,403.0,403.0,404.0,404.0,404.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0
北海道,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,11.0,15.0,17.0,21.0,22.0,36.0,44.0,44.0,46.0,49.0,49.0,53.0,55.0,60.0,63.0,66.0,71.0,73.0,77.0,78.0,85.0,87.0,90.0,90.0,90.0,92.0,94.0,94.0,96.0,96.0,96.0,99.0,99.0,99.0,103.0,103.0,105.0,105.0,107.0,110.0,115.0,118.0,119.0,119.0,120.0,125.0,125.0,137.0,149.0,157.0,162.0,168.0,173.0,197.0,205.0,229.0,248.0,256.0,264.0,281.0,289.0,305.0,320.0,331.0,339.0,350.0,367.0,380.0,387.0,403.0,416.0,434.0,441.0,444.0,450.0,453.0,461.0,472.0,479.0,481.0,484.0,487.0,489.0,495.0,497.0,499.0,499.0,502.0,504.0,509.0,517.0,520.0,521.0,528.0,534.0,535.0,535.0,539.0,539.0,541.0,544.0,546.0,547.0,550.0,556.0,559.0,563.0,567.0,572.0,579.0,585.0,586.0,589.0,592.0,593.0,595.0,597.0,600.0,601.0,603.0,603.0,604.0,611.0,615.0,618.0,620.0,624.0,626.0,628.0,631.0,634.0,636.0,636.0,636.0,636.0,636.0
千葉県,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,13.0,13.0,14.0,14.0,15.0,16.0,17.0,18.0,18.0,18.0,18.0,22.0,24.0,29.0,30.0,31.0,35.0,36.0,40.0,45.0,50.0,53.0,88.0,105.0,120.0,127.0,132.0,147.0,166.0,183.0,191.0,201.0,227.0,251.0,268.0,291.0,334.0,347.0,359.0,381.0,420.0,440.0,458.0,468.0,482.0,492.0,506.0,520.0,526.0,532.0,536.0,544.0,545.0,549.0,555.0,556.0,560.0,562.0,564.0,564.0,564.0,568.0,570.0,573.0,573.0,578.0,579.0,580.0,580.0,581.0,583.0,583.0,583.0,583.0,586.0,586.0,586.0,586.0,586.0,587.0,587.0,587.0,589.0,591.0,595.0,599.0,602.0,602.0,602.0,605.0,608.0,610.0,613.0,616.0,617.0,625.0,627.0,628.0,630.0,631.0,638.0,644.0,645.0,647.0,650.0,653.0,653.0,657.0,659.0,661.0,665.0,668.0,675.0,678.0,681.0,686.0,698.0,704.0,708.0,708.0,711.0,711.0,711.0
和歌山県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,6.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,15.0,15.0,15.0,16.0,17.0,19.0,24.0,24.0,26.0,26.0,26.0,27.0,27.0,27.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,31.0,31.0,32.0,33.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
埼玉県,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,6.0,6.0,9.0,11.0,12.0,14.0,15.0,15.0,15.0,19.0,19.0,23.0,24.0,29.0,30.0,31.0,37.0,37.0,41.0,45.0,51.0,54.0,54.0,64.0,67.0,73.0,80.0,100.0,112.0,123.0,138.0,162.0,210.0,230.0,247.0,266.0,277.0,299.0,326.0,349.0,368.0,390.0,403.0,411.0,415.0,432.0,446.0,463.0,474.0,480.0,486.0,487.0,498.0,500.0,501.0,513.0,515.0,515.0,523.0,524.0,531.0,536.0,543.0,545.0,546.0,546.0,547.0,550.0,552.0,553.0,554.0,554.0,555.0,557.0,558.0,559.0,559.0,559.0,559.0,559.0,560.0,561.0,562.0,562.0,562.0,562.0,562.0,563.0,563.0,563.0,564.0,564.0,564.0,566.0,570.0,573.0,573.0,575.0,575.0,575.0,576.0,576.0,577.0,578.0,583.0,585.0,587.0,593.0,602.0,608.0,615.0,619.0,622.0,630.0,641.0,649.0,675.0,684.0,700.0,709.0,717.0
大分県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,5.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,12.0,12.0,13.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,22.0,24.0,26.0,26.0,26.0,26.0,27.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
大阪府,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,7.0,10.0,12.0,16.0,16.0,28.0,31.0,37.0,38.0,42.0,44.0,45.0,47.0,52.0,54.0,58.0,59.0,63.0,64.0,69.0,75.0,78.0,98.0,103.0,112.0,120.0,131.0,149.0,175.0,196.0,219.0,234.0,246.0,278.0,310.0,362.0,411.0,450.0,474.0,489.0,519.0,559.0,589.0,620.0,668.0,688.0,728.0,763.0,783.0,798.0,817.0,830.0,838.0,860.0,876.0,900.0,915.0,922.0,931.0,938.0,944.0,944.0,949.0,954.0,958.0,964.0,969.0,969.0,973.0,978.0,979.0,980.0,981.0,981.0,981.0,986.0,986.0,986.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,989.0,989.0,989.0,989.0,989.0,989.0,989.0,990.0,990.0,990.0,991.0,991.0,991.0,991.0,994.0,996.0,998.0,1001.0,1005.0,1007.0,1010.0,1013.0,1013.0,1013.0,1015.0,1016.0,1018.0,1021.0,1022.0,1025.0,1027.0,1034.0,1038.0,1040.0,1048.0,1054.0,1056.0
奈良県,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,8.0,10.0,10.0,10.0,12.0,13.0,14.0,15.0,18.0,21.0,24.0,25.0,28.0,32.0,34.0,35.0,36.0,37.0,38.0,40.0,42.0,43.0,43.0,43.0,44.0,45.0,45.0,45.0,46.0,48.0,48.0,49.0,49.0,49.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
宮城県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,6.0,10.0,12.0,14.0,16.0,19.0,21.0,23.0,24.0,26.0,28.0,29.0,37.0,37.0,40.0,40.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
